Ep,n,Season,Series,Rating - Andy,Watch - Andy,Rating - Matt,Watch - Matt,MVC - Andy,MVC - Matt,Joint TNC Rating,IMDB (at time of listen),n_reviews,Other MVC,Director 1,Director 2,Writer 1,Writer 2,Teleplay 1,Teleplay 2,Teleplay 3,Viewers
Civil Defense,7,3,DS9,,,,,,,0,7.9,,,,,,,,,,8.1
Meridian,8,3,DS9,,,,,,,0,5.6,,,,,,,,,,8.5
Defiant,9,3,DS9,,,,,,,0,7.9,,,,,,,,,,9.3
Fascination,10,3,DS9,,,,,,,0,6.2,,,,,,,,,,8.2
"Past Tense, Part 1",11,3,DS9,,,,,,,0,7.8,,,,,,,,,,7.4
"Past Tense, Part 2",12,3,DS9,,,,,,,0,7.9,,,,,,,,,,8
Life Support,13,3,DS9,,,,,,,0,6.6,,,,,,,,,,8.2
Heart of Stone,14,3,DS9,,,,,,,0,7.3,,,,,,,,,,8.3
Destiny,15,3,DS9,,,,,,,0,7.4,,,,,,,,,,8.1
Prophet Motive,16,3,DS9,,,,,,,0,6.7,,,,,,,,,,7.5
Visionary,17,3,DS9,,,,,,,0,7.8,,,,,,,,,,7.9
Distant Voices,18,3,DS9,,,,,,,0,6.4,,,,,,,,,,7.1
Through The Looking Glass,19,3,DS9,,,,,,,0,7.4,,,,,,,,,,6.9
Improbable Cause,20,3,DS9,,,,,,,0,8.5,,,,,,,,,,6.9
The Die Is Cast,21,3,DS9,,,,,,,0,8.9,,,,,,,,,,7
Explorers,22,3,DS9,,,,,,,0,7.2,,,,,,,,,,6.7
Family Business,23,3,DS9,,,,,,,0,7.2,,,,,,,,,,6.9
Shakaar,24,3,DS9,,,,,,,0,6.9,,,,,,,,,,7.1
Facets,25,3,DS9,,,,,,,0,7.1,,,,,,,,,,5.9
The Adversary,26,3,DS9,,,,,,,0,8.2,,,,,,,,,,7.1
The Way of The Warrior,1,4,DS9,,,,,,,0,9,,,,,,,,,,8.5
The Visitor,2,4,DS9,,,,,,,0,9.1,,,,,,,,,,6.9
Hippocratic Oath,3,4,DS9,,,,,,,0,7.6,,,,,,,,,,7.7
Indiscretion,4,4,DS9,,,,,,,0,7.7,,,,,,,,,,7.2
Rejoined,5,4,DS9,,,,,,,0,7,,,,,,,,,,7
Starship Down,6,4,DS9,,,,,,,0,7.6,,,,,,,,,,7.7
Little Green Men,7,4,DS9,,,,,,,0,8.4,,,,,,,,,,7.1
The Sword of Kahless,8,4,DS9,,,,,,,0,7,,,,,,,,,,6.9
Our Man Bashir,9,4,DS9,,,,,,,0,7.9,,,,,,,,,,6.8
Homefront,10,4,DS9,,,,,,,0,8.2,,,,,,,,,,6.8
Paradise Lost,11,4,DS9,,,,,,,0,8.3,,,,,,,,,,6.8
Crossfire,12,4,DS9,,,,,,,0,7.1,,,,,,,,,,7
Return to Grace,13,4,DS9,,,,,,,0,7.7,,,,,,,,,,6.5
Sons of Mogh,14,4,DS9,,,,,,,0,7.2,,,,,,,,,,7.3
Bar Association,15,4,DS9,,,,,,,0,7.4,,,,,,,,,,6.7
Accession,16,4,DS9,,,,,,,0,7.1,,,,,,,,,,6.5
Rules of Engagement,17,4,DS9,,,,,,,0,7.3,,,,,,,,,,5.8
Hard Time,18,4,DS9,,,,,,,0,8.2,,,,,,,,,,5.7
Shattered Mirror,19,4,DS9,,,,,,,0,7.1,,,,,,,,,,6.5
The Muse,20,4,DS9,,,,,,,0,5.7,,,,,,,,,,5.3
For the Cause,21,4,DS9,,,,,,,0,7.7,,,,,,,,,,5.6
To the Death,22,4,DS9,,,,,,,0,8,,,,,,,,,,6
The Quickening,23,4,DS9,,,,,,,0,7.6,,,,,,,,,,5.7
Body Parts,24,4,DS9,,,,,,,0,7.4,,,,,,,,,,5.1
Broken Link,25,4,DS9,,,,,,,0,8.2,,,,,,,,,,6.2
Apocalypse Rising,1,5,DS9,,,,,,,0,8.2,,,,,,,,,,5.6
The Ship,2,5,DS9,,,,,,,0,7.9,,,,,,,,,,6
Looking for Par'Mach,3,5,DS9,,,,,,,0,7.6,,,,,,,,,,5.7
Nor the Battle to the Strong,4,5,DS9,,,,,,,0,7.5,,,,,,,,,,5
The Assignment,5,5,DS9,,,,,,,0,7.3,,,,,,,,,,
Trials and Tribble-ations,6,5,DS9,,,,,,,0,9.3,,,,,,,,,,7.7
Let He Who Is without sin...,7,5,DS9,,,,,,,0,5.5,,,,,,,,,,7
Things Past,8,5,DS9,,,,,,,0,7.4,,,,,,,,,,6
The Ascent,9,5,DS9,,,,,,,0,7.4,,,,,,,,,,6
Rapture,10,5,DS9,,,,,,,0,7.1,,,,,,,,,,6
The Darkness and the Light,11,5,DS9,,,,,,,0,6.9,,,,,,,,,,6
The Begotten,12,5,DS9,,,,,,,0,7.8,,,,,,,,,,6.2
For the Uniform,13,5,DS9,,,,,,,0,7.8,,,,,,,,,,6
In Purgatory's Shadow,14,5,DS9,,,,,,,0,8.7,,,,,,,,,,6.7
By Inferno's Light,15,5,DS9,,,,,,,0,8.8,,,,,,,,,,6.2
"Doctor Bashir, I Presume",16,5,DS9,,,,,,,0,7.7,,,,,,,,,,5.6
A Simple Investigation,17,5,DS9,,,,,,,0,6.6,,,,,,,,,,5.2
Business as Usual,18,5,DS9,,,,,,,0,7.2,,,,,,,,,,5.3
Ties of Blood and Water,19,5,DS9,,,,,,,0,7.1,,,,,,,,,,
Ferengi Love Songs,20,5,DS9,,,,,,,0,6.7,,,,,,,,,,4.8
Soldiers of the Empire,21,5,DS9,,,,,,,0,7.6,,,,,,,,,,5.2
Children of Time,22,5,DS9,,,,,,,0,8,,,,,,,,,,5.5
Blaze of Glory,23,5,DS9,,,,,,,0,7.5,,,,,,,,,,
Empok Nor,24,5,DS9,,,,,,,0,7.7,,,,,,,,,,4.9
In the Cards,25,5,DS9,,,,,,,0,7.7,,,,,,,,,,4.5
Call to Arms,26,5,DS9,,,,,,,0,9,,,,,,,,,,5.2
A Time To Stand,1,6,DS9,,,,,,,0,8.5,,,,,,,,,,5.4
Rocks and Shoals,2,6,DS9,,,,,,,0,8.5,,,,,,,,,,5.2
Sons and Daughters,3,6,DS9,,,,,,,0,7,,,,,,,,,,4.8
Behind the Lines,4,6,DS9,,,,,,,0,7.8,,,,,,,,,,5.1
Favor the Bold,5,6,DS9,,,,,,,0,8.5,,,,,,,,,,6
Sacrifice of Angels,6,6,DS9,,,,,,,0,9,,,,,,,,,,6.4
You Are Cordially Invited,7,6,DS9,,,,,,,0,7.3,,,,,,,,,,6.5
Ressurection,8,6,DS9,,,,,,,0,5.7,,,,,,,,,,5.2
Statistical Probabilities,9,6,DS9,,,,,,,0,7.5,,,,,,,,,,5.1
The Magnificent Ferengi,10,6,DS9,,,,,,,0,8.1,,,,,,,,,,5
Waltz,11,6,DS9,,,,,,,0,7.8,,,,,,,,,,4.9
Who Mourns for Morn?,12,6,DS9,,,,,,,0,7.6,,,,,,,,,,5.3
Far Beyond the Stars,13,6,DS9,,,,,,,0,8.9,,,,,,,,,,4.8
One Little Ship,14,6,DS9,,,,,,,0,7.6,,,,,,,,,,5.1
Honor Among Thieves,15,6,DS9,,,,,,,0,7.3,,,,,,,,,,4.6
Change of Heart,16,6,DS9,,,,,,,0,7.1,,,,,,,,,,5.5
Wrongs Darker than Death or Night,17,6,DS9,,,,,,,0,6.7,,,,,,,,,,4.6
Inquisition,18,6,DS9,,,,,,,0,8.2,,,,,,,,,,4.7
In The Pale Moonlight,19,6,DS9,,,,,,,0,9.4,,,,,,,,,,4.8
His Way,20,6,DS9,,,,,,,0,7.4,,,,,,,,,,4.3
The Reckoning,21,6,DS9,,,,,,,0,7,,,,,,,,,,4.2
Valient,22,6,DS9,,,,,,,0,6.9,,,,,,,,,,4.6
Profit and Lace,23,6,DS9,,,,,,,0,5.8,,,,,,,,,,4.2
Time's Orphan,24,6,DS9,,,,,,,0,6.2,,,,,,,,,,4.6
The Sound of Her Voice,25,6,DS9,,,,,,,0,7.4,,,,,,,,,,4.1
Tears of the Prophets,26,6,DS9,,,,,,,0,8.2,,,,,,,,,,4.1
Image in the Sand,1,7,DS9,,,,,,,0,7.5,,,,,,,,,,4.4
Shadows and Symbols,2,7,DS9,,,,,,,0,7.9,,,,,,,,,,4.2
Afterimage,3,7,DS9,,,,,,,0,7.2,,,,,,,,,,4.3
Take Me out to the Holosuite,4,7,DS9,,,,,,,0,7.4,,,,,,,,,,4.7
Chrysalis,5,7,DS9,,,,,,,0,6.9,,,,,,,,,,4.3
"Treachery, Faith and the Great River",6,7,DS9,,,,,,,0,8.2,,,,,,,,,,4.8
Once More Unto the Breach,7,7,DS9,,,,,,,0,7.6,,,,,,,,,,4.5
The Seige of AR-558,8,7,DS9,,,,,,,0,8.6,,,,,,,,,,4.5
Covenant,9,7,DS9,,,,,,,0,6.6,,,,,,,,,,4.4
It's Only a Paper Moon,10,7,DS9,,,,,,,0,8.2,,,,,,,,,,4.3
Prodigal Daughter,11,7,DS9,,,,,,,0,6.3,,,,,,,,,,4.3
The Emporer's New Cloak,12,7,DS9,,,,,,,0,6.3,,,,,,,,,,4.6
Field of Fire,13,7,DS9,,,,,,,0,6.6,,,,,,,,,,4.1
Chimera,14,7,DS9,,,,,,,0,7.2,,,,,,,,,,4.3
"Badda-Bing, Badda-Bing",15,7,DS9,,,,,,,0,7.6,,,,,,,,,,4.1
Inter Arma Enim Silent Leges,16,7,DS9,,,,,,,0,8.2,,,,,,,,,,4.1
Penumbra,17,7,DS9,,,,,,,0,7.4,,,,,,,,,,4.4
Til Death Do Us Part,18,7,DS9,,,,,,,0,7.4,,,,,,,,,,4.1
Strange Bedfellows,19,7,DS9,,,,,,,0,7.8,,,,,,,,,,4.2
The Changing Face of Evil,20,7,DS9,,,,,,,0,8.3,,,,,,,,,,4.5
When It Rains...,21,7,DS9,,,,,,,0,8.1,,,,,,,,,,4.3
Tacking Into The Wind,22,7,DS9,,,,,,,0,8.7,,,,,,,,,,4.4
Extreme Measures,23,7,DS9,,,,,,,0,7.6,,,,,,,,,,4.4
The Dogs of War,24,7,DS9,,,,,,,0,8.2,,,,,,,,,,3.7
What You Leave Behind,25,7,DS9,,,,,,,0,8.9,,,,,,,,,,5.4
Encounter At Farpoint,1,1,TNG,4,,6,Yes,,,5,6.9,,,Corey Allen,,D.C. Fontana,Gene Roddenberry,,,,15.7
The Naked Now,2,1,TNG,7,,4,No,,,5.5,6.5,,,Paul Lynch,,John D. F. Black,J. Michael Bingham,,,,11.5
Code of Honour,3,1,TNG,1,,2,No,,,1.5,5.1,,,"
Russ Mayberry",Les Landau,Katharyn Powers,Michael Baron,,,,9.5
The Last Outpost,4,1,TNG,5,,4,Yes,Troi,Troi,4.5,6.3,,,Richard A. Colla,,Richard Krzemien,,,,,8.9
Where Noone Has Gone Before,5,1,TNG,5,,6,Yes,W.Crusher,W.Crusher,5.5,7.5,,,Rob Bowman,,Diane Duane,Michael Reeves,,,,10.5
Lonely Among Us,6,1,TNG,2,,1,No,Troi,Troi,1.5,6.3,,,Cliff Bole,,Michael Halperin,,,,,12.1
Justice,7,1,TNG,1,,1,No,Worf,Picard,1,6,,,,,,,,,,12.7
The Battle,8,1,TNG,6,,5,Yes,Riker,W.Crusher,5.5,6.8,,,,,,,,,,10.5
Hide and Q,9,1,TNG,4.5,,4.5,Yes,Picard,Picard,4.5,6.9,,,,,,,,,,11
