Ep,n,Season,Series,Rating - Andy,Watch - Andy,Rating - Matt,Watch - Matt,MVC - Andy,MVC - Matt,Joint TNC Rating,IMDB (at time of listen),n_reviews,Other MVC,short_summary,Director 1,Director 2,Writer 1,Writer 2,Writer 3,Teleplay 1,Teleplay 2,Teleplay 3,Teleplay 4,Viewers,star_date,trek_date,orig_air_date,pod_date,pod_dur,mailbag_dur,recap_dur,supplemental
Contagion,11,2,TNG,8,,6,Yes,La Forge,La Forge,7,7.6,,,,Joseph L. Scanlan,,Steve Gerber,Beth Woods,,,,,,10.2,,,18/3/1989,18/9/2017,1:40:00,0:27:18,1:12:42,
The Royale,12,2,TNG,2,,2,Yes,Data,Data,2,6.6,,,,Cliff Bole,,Tracy Torme,,,,,,,10.6,,,25/3/1989,2/10/2017,1:18:00,,1:18:00,
Time Squared,13,2,TNG,1.5,,1.5,No,Picard,Picard,1.5,7.5,,,,Joseph L. Scanlan,,Kurt Michael Bensmiller,,,Maurice Hurley,,,,9.9,,,1/4/1989,9/10/2017,1:29:00,0:24:00,1:05:00,
The Icarus Factor,14,2,TNG,2.5,,2,No,Troi,W.Crusher,2.25,6.2,,,,Robert Iscove,,David Assael,,,David Assael,Robert McCullough,,,9.1,,,22/4/1989,16/10/2017,1:05:00,,1:05:00,
Pen Pals,15,2,TNG,3.5,,1.5,No,W.Crusher,W.Crusher,2.5,6.8,,,,Winrich Kolbe,,Hannah Louise Shearer,,,Melinda M. Snodgrass,,,,9.7,,,29/4/1989,23/10/2017,1:20:00,,1:20:00,
Q Who,16,2,TNG,9,,8,Yes,Nobody,Nobody,8.5,8.9,,,,Rob Bowman,,Maurice Hurley,,,,,,,10.3,,,6/5/1989,30/10/2017,1:31:00,,1:31:00,
Samaritan Snare,17,2,TNG,3,,3.5,No,Pulaski,Pulaski,3.25,6.5,,,,Les Landau,,Robert McCullough,,,,,,,10,,,13/5/1989,6/11/2017,1:16:00,0:19:00,0:57:00,
Up the Long Ladder,18,2,TNG,0.5,,1,No,Pulaski,Pulaski,0.75,6.2,,,,Winrich Kolbe,,Melinda M. Snodgrass,,,,,,,9.2,,,20/5/1989,15/11/2017,1:11:00,0:16:00,0:55:00,
Manhunt,19,2,TNG,0.5,,1,No,Data,Data,0.75,6.1,,,,Rob Bowman,,Tracy Torme,,,,,,,8.9,,,17/6/1989,20/11/2017,1:36:00,0:25:00,1:11:00,
The Emissary,20,2,TNG,7.5,,7,Yes,Worf,Worf,7.25,7.5,,,,Cliff Bole,,Richard Manning,Hans Beimler,,Richard Manning,Hans Beimler,,,9,,,24/6/1989,27/11/2017,1:24:00,0:23:00,1:01:00,
Peak Performance,21,2,TNG,6.5,,6,Neutral,Worf,Worf,6.25,7.7,,,,Robert Scheerer,,David Kemper,,,,,,,9.4,,,8/7/1989,4/12/2017,1:22:00,,1:22:00,
Shades of Gray,22,2,TNG,0.01,,0.01,No,Pulaski,Pulaski,0.01,3.3,,,,Rob Bowman,,Maurice Hurley,,,Maurice Hurley,Richard Manning,Hans Beimler,,9.8,,,15/7/1989,11/12/2017,1:36:00,,1:36:00,
Evolution,1,3,TNG,4.5,,4,Yes,Picard,Data,4.25,6.5,,,,Winrich Kolbe,,Michael Piller,Michael Wagner,,Michael Piller,,,,10.8,,,25/9/1989,6/3/2018,1:19:00,,1:19:00,
The Ensigns of Command,2,3,TNG,4,,6,Yes,Picard,Data,5,7.4,,,,Cliff Bole,,Melinda M. Snodgrass,,,,,,,,,,2/10/1989,19/3/2018,1:20:00,,1:20:00,
The Survivors,3,3,TNG,7.5,,5.5,Yes,Picard,Picard,6.5,7.6,,,,Les Landau,,Michael Wagner,,,,,,,9.6,,,9/10/1989,26/3/2018,1:15:00,,1:15:00,
Who Watches The Watchers,4,3,TNG,5,,6,Yes,Riker,Riker,5.5,8,,,,Robert Weimer,,Richard Manning,Hans Beimler,,,,,,9.6,,,16/10/1989,2/4/2018,1:28:00,0:21:15,1:06:45,
The Bonding,5,3,TNG,5.5,,4,No,Troi,Troi,4.75,6.7,,,,Winrich Kolbe,,Ronald D. Moore,,,,,,,9.9,,,23/10/1989,9/4/2018,1:20:30,0:22:30,0:58:00,
Booby Trap,6,3,TNG,7,,9,Yes,La Forge,La Forge,8,7.4,,,,Gabrielle Beaumont,,Michael Wagner,Ron Roman,,Ron Roman,Michael Piller,Richard Danus,,11,,,30/10/1989,16/4/2018,1:34:59,0:26:40,1:08:19,
The Enemy,7,3,TNG,7.5,,6.5,Yes,La Forge,Picard,7,7.8,,,,David Carson,,David Kemper,Michael Piller,,,,,,10.3,,,6/11/1989,23/4/2018,1:29:44,0:31:10,0:58:34,
The Price,8,3,TNG,1.5,,1.5,Meh,Riker,Riker,1.5,6.3,,,,Robert Scheerer,,Hannah Louise Shearer,,,,,,,10.6,,,13/11/1989,30/4/2018,2:06,0:48:00,1:18,
The Vengeance Factor,9,3,TNG,2.5,,2,No,Riker,Riker,2.25,6.5,,,,Timothy Bond,,Sam Rolfe,,,,,,,9.7,,,20/11/1989,7/5/2018,1:37:15,0:30:05,1:07:10,
The Defector,10,3,TNG,8.5,,8.5,Yes,Picard,Picard,8.5,8.4,,,,Robert Scheerer,,Ronald D. Moore,,,,,,,10.5,,,1/1/1990,14/5/2018,1:58:28,0:27:31,1:30:57,
The Hunted,11,3,TNG,7,,3.5,No,Troi,Troi,5.25,7.5,,,,Cliff Bole,,Robin Bernheim,,,,,,,10.6,,,8/1/1990,21/5/2018,1:43:00,0:30:10,1:12:50,
The High Ground,12,3,TNG,2.5,No,1.5,No,La Forge,La Forge,2,6.8,,,,Gabrielle Beaumont,,Melinda M. Snodgrass,,,,,,,10.5,,,29/1/1990,28/5/2018,1:30:00,0:23:35,1:06:25,
Deja Q,13,3,TNG,6.5,,8.5,Yes,Data,Data,7.5,8.5,,,,Les Landau,,Richard Danus,,,,,,,11.3,,,5/2/1990,4/6/2018,1:38:00,0:32:00,1:06:00,
A Matter of Perspective,14,3,TNG,2,,3,Meh,La Forge,Data,2.5,6.7,,,,Cliff Bole,,Ed Zuckerman,,,,,,,10.8,,,12/2/1990,11/6/2018,2:05:00,0:42:00,1:23:00,
Yesterday's Enterprise,15,3,TNG,10,,10,Yes,Guinan,Guinan,10,9.2,,,,David Carson,,Trent Christopher Ganino,Eric A. Stillwell,,Ira Steven Behr,Richard Manning,Hans Biemler,Ronald D. Moore,11.9,,,19/2/1990,18/6/2018,2:35:00,0:33:00,2:02:00,
The Offspring,16,3,TNG,6.5,,6.5,Yes,Picard,Picard,6.5,8.5,,,,Jonathan Frakes,,Rene Echevarria,,,,,,,10.2,,,12/3/1990,25/6/2018,1:59:00,0:31:00,1:28:00,Ask Frakes 1
Sins of the Father,17,3,TNG,9,,5.5,Yes,Worf,Worf,7.25,8.2,,,"Klingon, exhange program, conflict",Les Landau,,Drew Deighan,,,Ronald D. Moore,W.Reed Morgan,,,11.1,,,19/3/1990,2/7/2018,2:09:00,0:46:00,1:23:00,Patreon launched
Allegiance,18,3,TNG,4,,5,Meh,Riker,Riker,4.5,7.4,,,"Picard, kidnapped, imposter",Winrich Kolbe,,Richard Manning,Hans Beimler,,,,,,10.2,,,26/3/1990,9/7/2018,2:04:00,0:47:00,1:17:00,
Captain's Holiday,19,3,TNG,3.5,,3,Yes,Picard,Picard,3.25,7.2,,,"Vash, Risa, vacation, Ferengi, weapon",Chip Chalmers,,Ira Steven Behr,,,,,,,11.7,,,2/4/1990,16/7/2018,2:01:01,0:40:00,1:21:01,
Tin Man,20,3,TNG,4.5,,6,Yes,Tam,Data,5.25,7.2,,,"Romulans, vengeance",Robert Scheerer,,Dennis Bailey,David Bischoff,,,,,,10.2,,,23/4/1990,23/7/2018,2:15:00,0:46:00,1:29:00,
Hollow Pursuits,21,3,TNG,8,Yes,8,Yes,Barclay,Barclay,8,7.7,,,"Barclay, holodeck, addicted",Cliff Bole,,Sally Caves,,,,,,,9.8,,,30/4/1990,30/7/2018,2:10:00,0:35:00,1:35:00,
The Most Toys,22,3,TNG,8,,6,Yes,Worf,Worf,7,7.6,,,"transporting, dangerous material, Data, kidnapped",Timothy Bond,,Shari Goodhartz,,,,,,,10.3,,,7/5/1990,6/8/2018,2:43:00,0:55:45,1:47:15,
Sarek,23,3,TNG,7,,5,Yes,Picard,Picard,6,8.1,,,"ambassador, Sarek, Vulcan, emotional, peace talks",Les Landau,,Marc Cushman,Jake Jacobs,,Peter S.Beagle,,,,10.6,,,14/5/1990,13/8/2018,2:41:00,0:53:00,1:48:00,
Ménage à Troi,24,3,TNG,2,,6,Meh,W.Crusher,W.Crusher,4,6.5,,,"Lwuxana, Troi, kidnapped, Ferengi",Robert Legato,,Fred Bronson,Susan Sackett,,,,,,9.1,,,28/5/1990,20/8/2018,2:16:00,0:51:00,1:25:00,
Transfigurations,25,3,TNG,2.5,,2.5,No,La Forge,La Forge,2.5,6.9,,,"deserted planet, lone survivor",Tom Benko,,Rene Echevarria,,,,,,,10.2,,,4/6/1990,27/8/2018,2:39:00,0:46:00,1:53:00,
The Best of Both Worlds: Part 1,26,3,TNG,10,,10,Yes,Shelby,Shelby,10,9.3,,,"distress call, Borg, remote, colony",Cliff Bole,,Michael Piller,,,,,,,10.1,,,18/6/1990,3/9/2018,3:01:00,0:28:00,2:33:00,
"The Best of Both Worlds, Part II",1,4,TNG,,,,,,,0,9.2,,,,Cliff Bole,,Michael Piller,,,,,,,12.3,,,24/9/1990,17/9/2018,2:27:00,0:33:00,1:54:00,
Family,2,4,TNG,,,,,,,0,8.3,,,,Les Landau,,Ronald D. Moore,,,,,,,9.6,,,1/10/1990,24/9/2018,2:22:00,0:45:00,1:37:00,
Brothers,3,4,TNG,,,,,,,0,7.7,,,,Rob Bowman,,Rick Berman,,,,,,,10.9,,,8/10/1990,1/10/2018,1:50:00,,1:50:00,
Suddenly Human,4,4,TNG,,,,,,,0,6.4,,,,Gabrielle Beaumont,,Ralph Phillips,,,John Whelpley,Jeri Taylor,,,10.3,,,15/10/1990,8/10/2018,1:53:00,0:40:00,1:13:00,
Remember Me,5,4,TNG,,,,,,,0,7.8,,,,Cliff Bole,,Lee Sheldon,,,,,,,11.4,,,22/10/1990,15/10/2018,2:53:00,1:13:31,1:39:29,
Legacy,6,4,TNG,,,,,,,0,6.7,,,,Robert Scheerer,,Joe Menowsky,,,,,,,12,,,29/10/1990,22/10/2018,2:44:00,1:01:20,1:42:40,
Reunion,7,4,TNG,,,,,,,0,8.3,,,,Jonathan Frakes,,Drew Deighan,Thomas Perry,Jo Perry,Thomas Perry,Jo Perry,Ronald D. Moore,Brannon Braga,12.2,,,5/11/1990,29/10/2018,2:02:00,0:29:06,1:32:54,
Future Imperfect,8,4,TNG,,,,,,,0,7.8,,,,Les Landau,,J. Larry Carroll,David Bennett Carren,,,,,,12,,,12/11/1990,5/11/2018,2:08:00,0:34:00,1:34:00,
Final Mission,9,4,TNG,,,,,,,0,6.8,,,,Corey Allen,,Kacey Arnold-Ince,,,Kacey Arnold-Ince,Jeri Taylor,,,11.5,,,19/11/1990,12/11/2018,1:46:00,0:33:00,1:13:00,
The Loss,10,4,TNG,,,,,,,0,6,,,,Chip Chalmers,,Hilary J. Bader,,,Hilary J. Bader,Allan J. Bader,Vanessa Greene,,12.2,,,31/12/1990,26/11/2018,1:50:00,0:32:00,1:18:00,
Data's Day,11,4,TNG,,,,,,,0,8.1,,,,Robert Wiemar,,Harold Apter,,,Harold Apter,Ronald D. Moore,,,11.7,,,7/1/1991,3/12/2018,2:07:00,0:38:00,1:29:00,
The Wounded,12,4,TNG,,,,,,,0,8.1,,,,Chip Chalmers,,Stuart Charno,Sara Charno,Cy Chemak,Jeri Taylor,,,,12.1,,,28/1/1991,10/12/2018,2:10:00,0:31:00,1:39:00,
Devil's Due,13,4,TNG,,,,,,,0,7.2,,,,Tom Benko,,Philip LaZebnik,William Douglas Lansford,,Philip LaZebnik,,,,13,,,4/2/1991,17/12/2018,1:56:00,0:30:00,1:26:00,
Clues,14,4,TNG,,,,,,,0,8.2,,,,Les Landau,,Bruce D. Arthurs,,,Bruce D. Arthurs,Joe Menowsky,,,12.3,,,11/2/1991,24/12/2018,2:10:00,,2:10:00,
First Contact,15,4,TNG,,,,,,,0,8.1,,,,,,,,,,,,,11.4,,,18/2/1991,7/1/2019,1:59:00,0:36:00,1:23:00,
Galaxy's Child,16,4,TNG,,,,,,,0,7,,,,,,,,,,,,,11.7,,,11/3/1991,14/1/2019,2:30:00,0:21:55,2:08:05,
Night Terrors,17,4,TNG,,,,,,,0,7.1,,,,,,,,,,,,,11.2,,,18/3/1991,21/1/2019,2:33:00,0:41:00,1:52:00,
Identity Crisis,18,4,TNG,,,,,,,0,6.7,,,,,,,,,,,,,10.9,,,25/3/1991,28/1/2019,2:12:00,0:44:00,1:28:00,
The Nth Degree,19,4,TNG,,,,,,,0,8,,,,,,,,,,,,,11,,,1/4/1991,4/2/2019,1:45:00,0:25:00,1:20:00,
Qpid,20,4,TNG,,,,,,,0,7.2,,,,,,,,,,,,,10.8,,,22/4/1991,11/2/2019,2:13:00,0:30:00,1:43:00,
The Drumhead,21,4,TNG,,,,,,,0,8.4,,,,,,,,,,,,,10.5,,,29/4/1991,18/2/2019,2:32:00,0:35:00,1:57:00,Ask Frakes 2
Half a Life,22,4,TNG,,,,,,,0,7.3,,,,,,,,,,,,,,,,6/5/1991,25/2/2019,1:55:00,0:28:00,1:27:00,
The Host,23,4,TNG,,,,,,,0,6.4,,,,,,,,,,,,,11.3,,,13/5/1991,4/3/2019,2:36:00,0:24:00,2:12:00,
The Mind's Eye,24,4,TNG,,,,,,,0,7.7,,,,,,,,,,,,,10.1,,,27/5/1991,11/3/2019,1:54:00,0:30:00,1:24:00,
In Theory,25,4,TNG,,,,,,,0,7.1,,,,,,,,,,,,,9.8,,,3/6/1991,25/3/2019,1:52:00,,1:52:00,
"Redemption, Part I",,4,TNG,,,,,,,0,8.4,,,,,,,,,,,,,10.9,,,17/6/1991,1/4/2019,1:46:00,0:21:00,1:25:00,
"Redemption, Part II",1,5,TNG,,,,,,,TNG,8.4,,,,,,,,,,,,,,,,23/9/1991,8/4/2019,2:01:00,0:45:00,1:16:00,
Darmok,2,5,TNG,,,,,,,0,8.7,,,,,,,,,,,,,,,,30/9/1991,22/4/2019,1:51:00,0:48:00,1:03:00,
Ensign Ro,3,5,TNG,,,,,,,0,7.8,,,,,,,,,,,,,11.6,,,7/10/1991,23/5/2019,1:50:00,0:33:00,1:17:00,
Silicon Avatar,4,5,TNG,,,,,,,0,7.2,,,,,,,,,,,,,12,,,14/10/1991,5/6/2019,2:08:00,,2:08:00,
Disaster,5,5,TNG,,,,,,,0,7.9,,,,,,,,,,,,,12.3,,,21/10/1991,29/6/2019,2:34:00,0:31:00,2:03:00,
The Game,6,5,TNG,,,,,,,0,7.4,,,,,,,,,,,,,13.4,,,28/10/1991,29/7/2019,2:10:00,,2:10:00,
"Unification, Part I",7,5,TNG,,,,,,,0,8.2,,,,,,,,,,,,,15.4,,,4/11/1991,26/8/2019,2:12:00,0:42:00,1:30:00,
"Unification, Part II",8,5,TNG,,,,,,,0,8.3,,,,,,,,,,,,,15.4,,,11/11/1991,16/9/2019,1:56:00,0:36:00,1:20:00,
A Matter of Time,9,5,TNG,,,,,,,0,7.2,,,,,,,,,,,,,13.9,,,18/11/1991,28/10/2019,2:26:00,0:40:00,1:46:00,
New Ground,10,5,TNG,,,,,,,0,6.5,,,,,,,,,,,,,11.9,,,30/12/1991,1/12/2019,2:02:00,0:34:00,1:28:00,
Hero Worship,11,5,TNG,,,,,,,0,6.6,,,,,,,,,,,,,12.7,,,6/1/1992,23/12/2019,1:50:00,0:33:00,1:17:00,
Violations,12,5,TNG,,,,,,,0,6.2,,,,,,,,,,,,,12.1,,,27/1/1992,27/1/2020,1:35:00,0:24:00,1:11:00,
The Masterpiece Society,13,5,TNG,,,,,,,0,6.7,,,,,,,,,,,,,12,,,3/2/1992,17/2/2020,1:43:00,0:30:00,1:13:00,
Conundrum,14,5,TNG,,,,,,,0,8.2,,,,,,,,,,,,,12.2,,,10/2/1992,24/3/2020,1:51:00,0:27:00,1:24:00,
Power Play,15,5,TNG,,,,,,,0,7.3,,,,,,,,,,,,,13.2,,,17/2/1992,31/3/2020,1:41:00,0:39:30,1:01:30,
Ethics,16,5,TNG,,,,,,,0,7.2,,,,,,,,,,,,,12.6,,,24/2/1992,8/4/2020,1:39:00,0:30:00,1:09:00,
The Outcast,17,5,TNG,,,,,,,0,6.8,,,,,,,,,,,,,12.3,,,16/3/1992,16/4/2020,2:04:00,0:28:00,1:36:00,
Cause and Effect,18,5,TNG,,,,,,,0,8.9,,,,,,,,,,,,,13,,,23/3/1992,23/4/2020,2:12:00,0:33:00,1:39:00,
The First Duty,19,5,TNG,,,,,,,0,7.8,,,,,,,,,,,,,12.1,,,30/3/1992,30/4/2020,2:54:00,0:32:24,2:21:36,
Cost of Living,20,5,TNG,,,,,,,0,6.1,,,,,,,,,,,,,11.7,,,20/4/1992,8/5/2020,2:08:00,0:33:00,1:35:00,
The Perfect Mate,21,5,TNG,,,,,,,0,7.3,,,,,,,,,,,,,10.8,,,27/4/1992,13/5/2020,2:26:00,0:36:00,1:50:00,
Imaginary Friend,22,5,TNG,,,,,,,0,6,,,,,,,,,,,,,12.1,,,4/5/1992,21/5/2020,1:50:00,0:36:29,1:13:31,
"I, Borg",23,5,TNG,,,,,,,0,8.8,,,,,,,,,,,,,12.8,,,11/5/1992,28/5/2020,2:09:00,0:36:00,1:33:00,
The Next Phase,24,5,TNG,,,,,,,0,8.3,,,,,,,,,,,,,11.7,,,18/5/1992,5/6/2020,1:58:00,0:22:00,1:36:00,
The Inner Light,25,5,TNG,,,,,,,0,9.4,,,,,,,,,,,,,11.1,,,1/6/1992,12/6/2020,2:17:00,0:42:49,1:34:11,
"Time's Arrow, Part I",26,5,TNG,,,,,,,0,8.4,,,,,,,,,,,,,11.8,,,15/6/1992,19/6/2020,1:46:00,0:30:30,1:15:30,
"Time's Arrow, Part II",1,6,TNG,,,,,,,0,8.2,,,,,,,,,,,,,13.8,,,19/9/1992,1/7/2020,1:55:00,0:30:00,1:25:00,
Realm of Fear,2,6,TNG,,,,,,,0,7.2,,,,,,,,,,,,,13.2,,,26/9/1992,9/7/2020,1:54:00,0:43:00,1:11:00,
Man of the People,3,6,TNG,,,,,,,0,5.7,,,,,,,,,,,,,13.2,,,3/10/1992,18/7/2020,1:47:00,0:35:00,1:12:00,
Relics,4,6,TNG,,,,,,,0,8.5,,,,,,,,,,,,,13.9,,,10/10/1992,24/7/2020,2:07:00,0:38:00,1:29:00,
Schisms,5,6,TNG,,,,,,,0,7.5,,,,,,,,,,,,,13.2,,,17/10/1992,31/7/2020,2:52:00,1:15:00,1:37:00,
True Q,6,6,TNG,,,,,,,0,7.4,,,,,,,,,,,,,13.7,,,24/10/1992,5/8/2020,1:48:00,0:34:00,1:14:00,
Rascals,7,6,TNG,,,,,,,0,7.3,,,,,,,,,,,,,13.5,,,31/10/1992,17/8/2020,2:06:00,0:50:37,1:15:23,
A Fistful of Datas,8,6,TNG,,,,,,,0,7.4,,,,,,,,,,,,,13.4,,,7/11/1992,20/8/2020,1:49:00,0:41:00,1:08:00,
The Quality of Life,9,6,TNG,,,,,,,0,7.4,,,,,,,,,,,,,13.2,,,14/11/1992,27/8/2020,2:21:00,0:55:00,1:26:00,
"Chain of Command, Part I",10,6,TNG,,,,,,,0,8.3,,,,,,,,,,,,,10.2,,,12/12/1992,4/9/2020,2:38:00,0:57:00,1:41:00,
"Chain of Command, Part II",11,6,TNG,,,,,,,0,8.9,,,,,,,,,,,,,12.9,,,19/12/1992,11/9/2020,2:05:00,0:42:00,1:23:00,
Ship in a Bottle,12,6,TNG,,,,,,,0,8.5,,,,,,,,,,,,,11.3,,,23/1/1993,19/9/2020,2:17:00,0:47:00,1:30:00,
Aquiel,13,6,TNG,,,,,,,0,6,,,,,,,,,,,,,14.1,,,30/1/1993,27/9/2020,2:14:00,1:03:00,1:11:00,
Face of the Enemy,14,6,TNG,,,,,,,0,8,,,,,,,,,,,,,13.1,,,6/2/1993,1/10/2020,2:18:00,0:33:00,1:45:00,
Tapestry,15,6,TNG,,,,,,,0,8.8,,,,,,,,,,,,,13.8,,,13/2/1993,9/10/2020,1:54:00,0:30:00,1:24:00,
"Birthright, Part I",16,6,TNG,,,,,,,0,7.5,,,,,,,,,,,,,13.2,,,20/2/1993,15/10/2020,1:46:00,0:51:00,0:55:00,
"Birthright, Part II",17,6,TNG,,,,,,,0,7.3,,,,,,,,,,,,,13.4,,,27/2/1993,23/10/2020,1:31:00,0:30:00,1:01:00,
Starship Mine,18,6,TNG,,,,,,,0,7.9,,,,,,,,,,,,,,,,,30/10/2020,2:21:00,0:44:00,1:37:00,
Lessons,19,6,TNG,,,,,,,0,7.5,,,,,,,,,,,,,,,,,5/11/2020,1:58:00,0:34:00,1:24:00,
The Chase,20,6,TNG,,,,,,,0,8,,,,,,,,,,,,,,,,,16/11/2020,2:00:00,0:45:00,1:15:00,
Frame of Mind,21,6,TNG,,,,,,,0,8.1,,,,,,,,,,,,,,,,,27/11/2020,2:08:00,0:40:00,1:28:00,
Suspicions,22,6,TNG,,,,,,,0,7.1,,,,,,,,,,,,,,,,,11/12/2020,1:52:00,0:39:00,1:13:00,
Rightful Heir,23,6,TNG,,,,,,,0,7.8,,,,,,,,,,,,,,,,,28/12/2020,2:18:00,0:43:00,1:35:00,
Second Chances,24,6,TNG,,,,,,,0,7.5,,,,,,,,,,,,,,,,,22/2/2021,2:23:00,0:56:00,1:27:00,
Timescape,25,6,TNG,,,,,,,0,8.5,,,,,,,,,,,,,,,,,28/3/2021,2:07:00,0:53:00,1:14:00,
"Descent, Part I",26,6,TNG,,,,,,,0,8.1,,,,,,,,,,,,,,,,,26/4/2021,2:08:00,0:46:00,1:22:00,
"Descent, Part II",1,7,TNG,,,,,,,0,7.7,,,,,,,,,,,,,,,,,6/5/2021,2:33:00,0:58:00,1:35:00,
Liaisons,2,7,TNG,,,,,,,0,6.6,,,,,,,,,,,,,,,,,1/7/2021,2:28:00,0:46:00,1:42:00,
Interface,3,7,TNG,,,,,,,0,6.2,,,,,,,,,,,,,,,,,24/7/2021,2:15:00,0:43:41,1:31:19,
"Gambit, Part I",4,7,TNG,,,,,,,0,7.8,,,,,,,,,,,,,,,,,10/8/2021,2:25:00,0:43:00,1:42:00,
"Gambit, Part II",5,7,TNG,,,,,,,0,7.9,,,,,,,,,,,,,,,,,1/9/2021,2:40:00,0:55:00,1:45:00,
Phantasms,6,7,TNG,,,,,,,0,7.5,,,,,,,,,,,,,,,,,17/9/2021,2:32:00,0:58:00,1:34:00,
Dark Page,7,7,TNG,,,,,,,0,6.4,,,,,,,,,,,,,,,,,28/9/2021,2:42:00,0:55:00,1:47:00,
Attached,8,7,TNG,,,,,,,0,7.5,,,,,,,,,,,,,,,,,13/10/2021,1:53:00,0:40:00,1:13:00,
Force of Nature,9,7,TNG,,,,,,,0,6.4,,,,,,,,,,,,,,,,,25/10/2021,2:07:00,0:40:00,1:27:00,
Inheritance,10,7,TNG,,,,,,,0,7.5,,,,,,,,,,,,,,,,,31/10/2021,2:49:00,0:50:00,1:59:00,
Parallels,11,7,TNG,,,,,,,0,8.8,,,,,,,,,,,,,,,,,13/11/2021,2:09:00,0:51:00,1:18:00,
The Pegasus,12,7,TNG,,,,,,,0,8.5,,,,,,,,,,,,,,,,,26/12/2021,2:51:00,,2:51:00,
Homeward,13,7,TNG,,,,,,,0,7,,,,,,,,,,,,,,,,,17/1/2022,2:15:00,1:01:23,1:13:37,
Sub Rosa,14,7,TNG,,,,,,,0,4.8,,,,,,,,,,,,,,,,,9/2/2022,2:26:00,0:59:00,1:27:00,
Lower Decks,15,7,TNG,,,,,,,0,8.7,,,,,,,,,,,,,,,,,23/2/2022,2:11:00,0:49:00,1:22:00,
Thine Own Self,16,7,TNG,,,,,,,0,7.8,,,,,,,,,,,,,,,,,1/3/2022,1:49:00,0:40:00,1:09:00,
Masks,17,7,TNG,,,,,,,0,5.8,,,,,,,,,,,,,,,,,9/3/2022,1:45:00,0:47:00,0:58:00,
Eye of the Beholder,18,7,TNG,,,,,,,0,6.6,,,,,,,,,,,,,,,,,18/3/2022,1:39:00,0:50:00,0:49:00,
Genesis,19,7,TNG,,,,,,,0,7,,,,,,,,,,,,,,,,,24/3/2022,1:49:00,0:32:00,1:17:00,
Journey's End,20,7,TNG,,,,,,,0,6.3,,,,,,,,,,,,,,,,,1/4/2022,1:39:00,0:40:00,0:59:00,
Firstborn,21,7,TNG,,,,,,,0,6.7,,,,,,,,,,,,,,,,,7/4/2022,1:50:00,0:40:00,1:10:00,
Bloodlines,22,7,TNG,,,,,,,0,6.5,,,,,,,,,,,,,,,,,15/4/2022,1:48:00,0:40:00,1:08:00,
Emergence,23,7,TNG,,,,,,,0,6.5,,,,,,,,,,,,,,,,,3/5/2022,2:00:00,1:00:00,1:00:00,
Preemptive Strike,24,7,TNG,,,,,,,0,7.9,,,,,,,,,,,,,,,,,16/5/2022,2:13:00,0:57:15,1:15:45,
"All Good Things..., Part I",25,7,TNG,,,,,,,0,9.1,,,,,,,,,,,,,,,,,21/6/2022,4:40:00,1:44:00,2:56:00,
"All Good Things..., Part II",26,7,TNG,,,,,,,0,9.1,,,,,,,,,,,,,,,,,21/6/2022,4:40:00,1:44:00,2:56:00,
"Broken Bow, Parts 1 & 2",1,1,ENT,8,Yes,7,Yes,T'Pol,Archer,7.5,7.7,4603,,,James L.Conway,,Rick Berman,Brannon Braga,,,,,,12.54,,16/4/2151,26/9/2001,29/3/2020,1:29:00,,1:29:00,
Fight or Flight,3,1,ENT,7,Yes,7,Yes,Hoshi,Hoshi,7,7,1850,,,Allan Kroeker,,Rick Berman,Brannon Braga,,,,,,9.18,,6/5/2151,3/10/2001,17/4/2020,1:31:00,,1:31:00,
Strange New World,4,1,ENT,6,Yes,5.5,Meh,T'Pol,T'Pol,5.75,7,1843,,,David Livingston,,Mike Sussman,Phyllis Strong,,Rick Berman,Brannon Braga,,,7.81,,not known,10/10/2001,26/5/2020,1:37:00,,1:37:00,
Unexpected ,5,1,ENT,5.5,Yes,2,No,Archer,T'Pol,3.75,7.2,1886,,,Mike Vejar,,Rick Berman,Brannon Braga,,,,,,8.16,,not known,17/10/2001,21/6/2020,1:40:00,,1:40:00,
Terra Nova,6,1,ENT,6.5,Yes,6,Yes,Archer,Archer,6.25,6.5,1787,,,LeVar Burton,,Rick Berman,Brannon Braga,,Antoinette Stella,,,,8.35,,not known,24/10/2001,28/7/2020,1:57:00,,1:57:00,
The Andorian Incident,7,1,ENT,9,Yes,9,Yes,Reed,Archer,9,8,1933,,,Roxann Dawson,,Rick Berman,Brannon Braga,Fred Dekker,Fred Dekker,,,,7.19,,19/6/2151,31/10/2001,28/8/2020,1:49:00,,1:49:00,
Breaking The Ice,8,1,ENT,5.5,Yes,4.5,Yes,T'Pol,T'Pol,5,7.1,1721,,,Terry Windell,,Andre Jacquemetton,Maria Jacquemetton,,,,,,7.36,,not known,7/11/2001,15/09/2020,1:53:00,,1:53:00,
Civilization,9,1,ENT,6.5,Yes,6.5,Yes,T'Pol,T'Pol,6.5,7.1,1740,,,Mike Vejar,,Mike Sussman,Phyllis Strong,,,,,,7.14,,31/7/2151,14/11/2001,10/10/2020,1:42:00,,1:42:00,
Fortunate Son,10,1,ENT,5,Meh,3.5,No,Mayweather,Mayweather,4.25,6.4,1647,,,LeVar Burton,,James Duff,,,,,,,6.11,,not known,21/11/2001,26/10/2020,1:53:00,,1:53:00,
