Ep,n,Season,Rating - Andy,Watch - Andy,Rating - Matt,Watch - Matt,MVC - Andy,MVC - Matt,Joint TNC Rating,IMDB (at time of listen),Other MVC
Ferengi Love Songs,20,5,,,,,,,,6.7,
Soldiers of the Empire,21,5,,,,,,,,7.6,
Children of Time,22,5,,,,,,,,8,
Blaze of Glory,23,5,,,,,,,,7.5,
Empok Nor,24,5,,,,,,,,7.7,
In the Cards,25,5,,,,,,,,7.7,
Call to Arms,26,5,,,,,,,,9,
,,,,,,,,,,,
Avg-Winner,,,,,,,,,,7.6,
,,,,,,,,,,,
A Time To Stand,1,6,,,,,,,,8.5,
Rocks and Shoals,2,6,,,,,,,,8.5,
Sons and Daughters,3,6,,,,,,,,7,
Behind the Lines,4,6,,,,,,,,7.8,
Favor the Bold,5,6,,,,,,,,8.5,
Sacrifice of Angels,6,6,,,,,,,,9,
You Are Cordially Invited,7,6,,,,,,,,7.3,
Ressurection,8,6,,,,,,,,5.7,
Statistical Probabilities,9,6,,,,,,,,7.5,
The Magnificent Ferengi,10,6,,,,,,,,8.1,
Waltz,11,6,,,,,,,,7.8,
Who Mourns for Morn?,12,6,,,,,,,,7.6,
Far Beyond the Stars,13,6,,,,,,,,8.9,
One Little Ship,14,6,,,,,,,,7.6,
Honor Among Thieves,15,6,,,,,,,,7.3,
Change of Heart,16,6,,,,,,,,7.1,
Wrongs Darker than Death or Night,17,6,,,,,,,,6.7,
Inquisition,18,6,,,,,,,,8.2,
In The Pale Moonlight,19,6,,,,,,,,9.4,
His Way,20,6,,,,,,,,7.4,
The Reckoning,21,6,,,,,,,,7,
Valient,22,6,,,,,,,,6.9,
Profit and Lace,23,6,,,,,,,,5.8,
Time's Orphan,24,6,,,,,,,,6.2,
The Sound of Her Voice,25,6,,,,,,,,7.4,
Tears of the Prophets,26,6,,,,,,,,8.2,
,,,,,,,,,,,
Avg-Winner,,,,,,,,,,7.6,
,,,,,,,,,,,
Image in the Sand,1,7,,,,,,,,7.5,
Shadows and Symbols,2,7,,,,,,,,7.9,
Afterimage,3,7,,,,,,,,7.2,
Take Me out to the Holosuite,4,7,,,,,,,,7.4,
Chrysalis,5,7,,,,,,,,6.9,
"Treachery, Faith and the Great River",6,7,,,,,,,,8.2,
Once More Unto the Breach,7,7,,,,,,,,7.6,
The Seige of AR-558,8,7,,,,,,,,8.6,
Covenant,9,7,,,,,,,,6.6,
It's Only a Paper Moon,10,7,,,,,,,,8.2,
Prodigal Daughter,11,7,,,,,,,,6.3,
The Emporer's New Cloak,12,7,,,,,,,,6.3,
Field of Fire,13,7,,,,,,,,6.6,
Chimera,14,7,,,,,,,,7.2,
"Badda-Bing, Badda-Bing",15,7,,,,,,,,7.6,
Inter Arma Enim Silent Leges,16,7,,,,,,,,8.2,
Penumbra,17,7,,,,,,,,7.4,
Til Death Do Us Part,18,7,,,,,,,,7.4,
Strange Bedfellows,19,7,,,,,,,,7.8,
The Changing Face of Evil,20,7,,,,,,,,8.3,
When It Rains...,21,7,,,,,,,,8.1,
Tacking Into The Wind,22,7,,,,,,,,8.7,
Extreme Measures,23,7,,,,,,,,7.6,
The Dogs of War,24,7,,,,,,,,8.2,
What You Leave Behind,25,7,,,,,,,,8.9,
,,,,,,,,,,,
Avg-Winner,,,,,,,,,,7.6,
