Ep,n,Season,Rating - Andy,Watch - Andy,Rating - Matt,Watch - Matt,MVC - Andy,MVC - Matt,Joint TNC Rating,IMDB (at time of listen),Other MVC,Director 1,Director 2,Writer 1,Writer 2,Teleplay 1,Teleplay 2,Teleplay 3,Viewers
Emissary,1,1,9.5,YES,6,YES,Kira,Kira,7.75,7.5,,David Carson,,Rick Berman,Michael Piller,Michael Piller,,,18.8
Past Prologue,3,1,6,YES,5,NEUTRAL ,Kira,Kira,5.5,7.1,,Winrich Kolbe,,Kathryn Powers,,Kathryn Powers,,,13.4
A Man Alone,4,1,7,YES,6.5,YES,Bashir,Bashir,6.75,6.8,,Paul Lynch,,Gerald Sanford,Michael Piller,Michael Piller,,,13
Babel,5,1,6,YES,6,YES,Kira,Kira,6,7,,Paul Lynch,,Sally Caves,Ira Steven Behr,Michael McGreevey,Naren Shankar,,11.6
Captive Pursuit,6,1,7,YES,7.5,YES,O'Brien,O'Brien,7.25,7.6,,Corey Allen,,Jill Sherman Donner,,Jill Sherman Donner,Michael Piller,,12.9
Q Less,7,1,6,YES,3,NO,Dax,Dax,4.5,6.7,,Paul Lynch,,Hannah Louise Shearer,,Robert Hewitt Wolfe,,,12.8
Dax,8,1,6,YES,7,YES,Other,Odo,6.5,7.1,Anina,David Carson,,Peter Allan Fields,,D.C. Fontana,Peter Allan Fields,,12.1
Passenger,9,1,7,YES,4,YES,Dax,Dax,5.5,6.3,,Paul Lynch,,Morgan Gendel,,Morgan Gendel,Robert Hewitt Wolfe,Michael Piller,11.6
Move Along Home,10,1,1,YES,1,NO,Sisko,Jake,1,5.8,,David Carson,,Michael Piller,,Frederick Rappaport,Lisa Rich,Jeanne Carrigan-Fauci,11.4
The Nagus,11,1,6,YES,6,YES,Jake,Odo,6,7,,David Livingston,,David Livingston,,Ira Steven Behr,,,10.7
Vortex,12,1,7.5,YES,4.5,NEUTRAL ,Bashir,Bashir,6,7,,Winrich Kolbe,,Sam Rolfe,,Sam Rolfe,,,9.7
